repo_full_name,vintage_quarter,snapshot_sha,total_commits,ai_commits,ai_commit_fraction,tools_matched,first_ai_commit_date,marker_files_found
plasma-umass/scalene,2019Q4,8e3fafb8cdc6c9a16a36e9e313d1537a0dd819b6,540,0,0.0,,,
facebookresearch/demucs,2019Q4,bbd57600d8c7b87d7b1681c8561b8cf716eaa6ca,60,0,0.0,,,
facebookresearch/pytorch3d,2019Q4,7cb9d8ea8612970a9c5b8347de6a04f3f779f05e,196,0,0.0,,,
pycaret/pycaret,2019Q4,796f5928ed961dd5d6a1eef1be7909334fc607ae,193,0,0.0,,,
bridgecrewio/checkov,2019Q4,e528b56eb61cba028ca11ff2a11b633ee3a1ad79,1249,0,0.0,,,
deepspeedai/DeepSpeed,2020Q1,1f972427fc6c9b22da97ca8b89c194bfb3988d6f,206,0,0.0,,,
mingrammer/diagrams,2020Q1,c711d687eca90f2b8653cd3d37171fb3978c471e,318,0,0.0,,,
JaidedAI/EasyOCR,2020Q1,b27bb931a1108f80cc0a489b468848ca6949701a,315,0,0.0,,,
serengil/deepface,2020Q1,5df3f07aba5e349c7a8678c912933b97fe4c7da7,305,0,0.0,,,
huggingface/datasets,2020Q1,f95d678c4efdb88aa38aef49e2a9fcc28ba0bb4b,567,2,0.003527336860670194,devin,2020-04-27T20:07:48+02:00,
jina-ai/serve,2020Q1,e45d0c2d14045861f7f52870563a1af1ba48250b,2402,0,0.0,,,
huggingface/trl,2020Q1,1662d78b5c5e688823b06c69495632abd68b7484,35,0,0.0,,,
benbusby/whoogle-search,2020Q1,3d7456f37b231d85e32f84420fff5753fad70d1c,175,0,0.0,,,
Netflix/dispatch,2020Q1,501367b865a80686c6b8b1026c24f77485166e39,467,0,0.0,,,
PaddlePaddle/PaddleX,2020Q1,48cdc23990afe8d1884e2f3c02d98196b792d723,1308,0,0.0,,,
PaddlePaddle/PaddleOCR,2020Q2,7d09cd1928f08895a38c48c5a4fd384882ef0494,996,0,0.0,,,
Z4nzu/hackingtool,2020Q2,a87ca673fc3774af8dcffcc1ad4e6b06ba621580,83,0,0.0,,,
ultralytics/yolov5,2020Q2,e9a0ae6f1958881ed3ea0869a3d02cb0da344088,761,0,0.0,,,
