dependency_name,fan_in
seqeval,2
hnswlib,2
hsh,2
crewai-tools,2
hstspreload,2
send2trash,2
crewai,2
z3-solver,2
semantic-version,2
tree-sitter-go,2
coolname,2
cpm-kernels,2
ast-grep-cli,2
google-cloud-speech,2
async-generator,2
conformer,2
apispec,2
astroid,2
django-appconf,2
dingtalk-stream,2
slack-bolt,2
trio,2
xarray,2
apache-tvm-ffi,2
torchtyping,2
google-cloud-spanner,2
google-cloud-resource-manager,2
configspace,2
torchnet,2
apprise,2
xatlas,2
appnope,2
wordninja,2
google-cloud-bigquery-storage,2
dirhash,2
google-cloud-bigtable,2
atlassian-python-api,2
argostranslate,2
tortoise-orm,2
smmap2,2
delegator-py,2
spaces,2
google-search-results,2
google-resumable-media,2
torrequest,2
wordcloud,2
distributed,2
xmlsec,2
demjson,2
smart-open,2
x-transformers,2
demucs,2
unidic,1
pyobjc-framework-usernotifications,1
pyobjc-framework-videosubscriberaccount,1
tulipy,1
pyrouge,1
pyobjc-framework-videotoolbox,1
unicode,1
pyobjc-framework-systemconfiguration,1
pyobjc-framework-syncservices,1
pyqt6-qt6,1
types-cachetools,1
pyobjc-framework-storekit,1
tsdb,1
untokenize,1
trueskill,1
unqlite,1
pyobjc-framework-scriptingbridge,1
pyobjc-framework-searchkit,1
unittest-xml-reporting,1
pyobjc-framework-security,1
pyobjc-framework-securityfoundation,1
pyrallis,1
pysafebrowsing,1
unimernet,1
pyobjc-framework-securityinterface,1
tree-sitter-powershell,1
pyroute2,1
pyramid,1
unipath,1
pyobjc-framework-servicemanagement,1
pyqtwebengine,1
pyobjc-framework-social,1
pyobjc-framework-spritekit,1
pyobjc-framework-webkit,1
pyright,1
undetected-playwright,1
treq,1
pypiwin32,1
tree-sitter-swift,1
pypinyin-dict,1
pypandoc-binary,1
txtsplit,1
pypika,1
pyphen,1
types-toml,1
types-setuptools,1
trie,1
ty,1
tree-sitter-ruby,1
pyrealsense2,1
tree-sitter-verilog,1
treescope,1
types-redis,1
typepy,1
tree-sitter-zig,1
pyreadline,1
treelib,1
typer-slim,1
types-colorama,1
u-msgpack-python,1
ua-parser,1
pyppeteer,1
tree-sitter-scala,1
pyqt5-sip,1
pyqt5-qt5,1
twill,1
pyocr,1
twitter,1
pyqrcode,1
pypushdeer,1
pypdns,1
pyod,1
pyogrio,1
pyopencl,1
pyopengl,1
txjson-rpc,1
pypssl,1
pyopenjtalk,1
pyric,1
pyproj,1
uiautomator2,1
pyramid-arima,1
pyrate-limiter,1
ubi-reader,1
upsonic,1
